0,[-0.25644986358586114 -77.99912773222225 25.917778284369817]
1,[-1.8439262276622992 -80.77280884601245 27.731408713703278]
2,[-3.4079671915058403 -83.53788715002395 29.547657238293432]
3,[-5.560528046277692 -86.10826271581645 31.024046612077633]
4,[-8.2947061689818 -88.36854602578887 31.915326368673693]
5,[-11.482370321025797 -90.13622531760797 32.26688861285086]
6,[-14.97301375849517 -91.21978497494337 32.134764015826704]
7,[-19.893918425035142 -92.01203794984025 30.33648668157144]
8,[-24.14303478962894 -92.58004183071544 27.193540311417895]
9,[-27.555477592081296 -92.8848751901013 23.07871015133132]
10,[-30.081972117661664 -92.0503737081466 18.453979971468538]
11,[-31.493643888839397 -91.27244860912408 13.409583443794583]
12,[-31.823869665379398 -90.4514638885049 8.157716252011545]
13,[-31.58402794162545 -89.6694991853938 2.893786628452023]
14,[-30.826725360594843 -88.97460553492743 -2.3333858995794206]
15,[-29.44293006302139 -88.41738870678492 -7.451274111385641]
16,[-27.376306044692893 -87.64123608930875 -12.308750477309017]
17,[-24.36568672279105 -86.10368419151163 -16.437288575423487]
18,[-20.449594993495424 -84.26725642596631 -19.54707814885063]
19,[-16.171713427092527 -82.70938327385518 -22.29873705910421]
20,[-11.736257292534303 -81.45853046228407 -24.971555070159518]
21,[-7.3621006624533045 -79.94847365143673 -27.61707399511411]
22,[-2.751195256797678 -77.76876900303074 -29.15992563468474]
23,[0.9936340947645368 -74.85056617010228 -28.32070381874607]
24,[3.5537919108541267 -71.17209583958811 -26.670545502056363]
25,[-7.538285902333686 -74.60072673223725 17.05821902329428]
26,[-8.747407383466605 -76.18523102049996 15.901606495013292]
27,[-10.117696454353112 -77.60449997383394 14.711898788074217]
28,[-11.699491436589792 -78.92607654721657 13.684320340268457]
29,[-13.150151211525218 -80.58039122002225 13.012870166681052]
30,[-14.619765078657759 -82.18247647878358 12.252886154466601]
31,[-16.140815675319754 -83.8337202080125 11.792260366686815]
32,[-17.766128452764853 -85.36123128571134 11.220260835584995]
33,[-19.52809896707667 -86.7398727574465 10.672604085742938]
34,[-21.440164226939753 -87.94178296307965 7.97419556342235]
35,[-22.242635552377145 -88.55577756334569 4.585731921108372]
36,[-22.247739540521764 -88.87979521894079 1.0508945149737394]
37,[-21.586116040978645 -88.6139625403197 -2.384400984797706]
38,[-19.987242107155414 -87.4814760765311 -5.21449427452991]
39,[-17.73961159206468 -85.58786888278846 -7.206445988296912]
40,[-14.291003251620634 -84.98030006738392 -8.05962821627785]
41,[-10.770798269861595 -84.64153072477495 -8.50003442534511]
42,[-7.466353105806131 -84.26947189538234 -9.79135751266077]
43,[-5.120250729512601 -83.1081785361595 -10.934375986530346]
44,[-3.335764362700946 -81.02540265561743 -11.698463427087125]
45,[-1.6250590580347035 -78.75198390574324 -11.427178657403731]
46,[0.674717646081042 -77.71362335436494 -10.05718720704112]
47,[1.7161340825064846 -78.3010042966618 -8.386198855521634]
48,[1.560484990134524 -79.1376792444763 -6.534368256729938]
49,[0.7924252265507146 -79.82303668910144 -4.761245293348901]
50,[0.44299275670619476 -80.17101503055082 -2.74176576942871]
51,[0.2186945326839962 -79.4523351412606 0.496191926587518]
52,[0.015929535223664405 -78.59249805957073 3.7043323370657264]
53,[-1.0053783168218302 -77.54711257438848 6.642257173175581]
54,[-2.2922155374717184 -76.02869853479008 9.311582626418307]
55,[-5.8881559411030215 -77.85652093200191 16.685733416012432]
56,[-5.8419545020674155 -78.7784567395327 18.81904507806691]
57,[-6.048521608456448 -80.07867110545178 20.732483599738387]
58,[-6.348957330074629 -81.7266893474457 22.340681234825137]
59,[-6.623442360029716 -83.60774007048715 23.673563863553525]
60,[-7.465636101512968 -85.5696301321775 24.60493381974688]
61,[-8.93425289908751 -87.25945347861887 25.158514606849444]
62,[-10.716292288355534 -88.66386754427036 25.651273571853988]
63,[-12.714518109975073 -89.82162347831186 25.896122427106256]
64,[-14.845189 -90.72838 25.759356]
65,[-16.894138318260094 -91.32944844458187 24.83781457556175]
66,[-18.82678768175702 -91.71402459645121 23.65892945026222]
67,[-20.597622020868364 -91.86238609454001 22.164312687900516]
68,[-22.149525324303298 -91.98116529677549 20.43725911888725]
69,[-23.520531368928744 -91.86144971077952 18.562498924916728]
70,[-24.576363628378974 -91.65769766991389 16.502448832904236]
71,[-25.34288459539633 -91.36928807787088 14.333401532646981]
72,[-25.960730291644836 -91.0673255307822 12.112590604085]
73,[-26.488594153505755 -90.93157500500479 9.856983191510965]
74,[-26.902882570512023 -91.09430563253112 7.578867701343465]
75,[-20.233222209118807 -87.05122610948031 12.425619122083111]
76,[-20.26241256071819 -87.00684631000954 14.538359784457151]
77,[-19.965067451445456 -86.84161302659489 16.62008857330822]
78,[-19.43086090095238 -86.59287370924406 18.65492072569641]
79,[-18.695238328051342 -86.2913979219512 20.618531526112143]
80,[-17.54112436451456 -85.89612485047773 22.34121781634753]
81,[-16.17214993035169 -85.57469937366548 23.92208447372281]
82,[-14.886783343741483 -85.1185025827511 25.53682176497087]
83,[-13.600244850821932 -84.69889667996512 27.185112909672245]
84,[-11.607585295474355 -84.71177165506317 27.76382309771899]
